TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
11408,117,16818,0.52,412,380,1067,12467,154,23115,0.6,101,66,1076,13042,144,19882,0.55,240,200,1192,12016,76,17331,0.54,371,316,1575,12505,158,22505,0.5,100,100,1000,10405,145,28882,0.5,100,100,1000,10302,11,21269,0.5,100,100,1000,15380,50,25029,0.5,100,100,1000,7413,55,13617,0.5,100,100,1000,12272,110,27913,0.5,100,100,1000,0
11562,21,31701,0.61,116,74,1225,10660,117,25235,0.5,100,100,1000,14781,28,35638,0.56,175,137,1330,17254,67,33481,0.51,437,413,1074,16057,131,41800,0.6,128,84,1363,14293,124,47392,0.59,111,78,1098,17718,150,45389,0.52,451,415,1199,11855,30,25206,0.57,148,112,1020,11067,8,20837,0.58,115,83,1060,8914,13,12911,0.58,200,143,1341,1
12710,61,16871,0.53,269,235,1091,7925,146,6043,0.5,100,100,1000,10708,86,16735,0.5,100,100,1000,11316,144,12712,0.5,100,100,1000,13119,49,21082,0.52,412,380,1067,10866,124,18381,0.5,100,100,1000,13447,54,15719,0.5,100,100,1000,10609,51,17902,0.58,179,128,1282,7522,73,8183,0.53,423,379,1064,6302,101,4772,0.5,100,100,1000,1
4618,20,5026,0.5,100,100,1000,5599,52,2920,0.5,100,100,1000,5642,157,4145,0.55,150,122,1028,8540,88,9210,0.54,244,211,1080,6520,153,6584,0.5,100,100,1000,7053,8,11154,0.5,100,100,1000,4715,138,8052,0.52,393,369,1045,8449,51,9997,0.55,296,241,1195,4374,121,2684,0.53,458,410,1145,6534,55,6533,0.5,100,100,1000,0
11664,19,14170,0.5,100,100,1000,13832,48,20184,0.5,100,100,1000,12493,56,39279,0.57,153,116,1005,9888,89,13386,0.52,504,463,1003,10054,158,15288,0.5,100,100,1000,12273,70,21063,0.56,233,186,1219,13178,51,24519,0.5,100,100,1000,14311,9,29239,0.5,100,100,1000,7550,15,9079,0.5,100,100,1000,7649,130,8030,0.55,305,252,1424,0
17215,90,36139,0.5,100,100,1000,11227,92,19032,0.55,274,222,1060,12376,48,17473,0.51,437,413,1074,12858,67,19363,0.5,100,100,1000,15084,124,37308,0.5,100,100,1000,13359,2,27325,0.5,100,100,1000,15135,159,31874,0.5,100,100,1000,15390,118,27025,0.5,100,100,1000,8658,15,7950,0.5,100,100,1000,8388,130,11123,0.5,100,100,1000,1
15300,105,24051,0.64,136,75,1434,14191,49,26090,0.56,211,167,1234,14001,28,18857,0.5,100,100,1000,9052,143,12954,0.5,100,100,1000,15816,2,27859,0.52,419,380,1212,12665,140,14255,0.53,406,363,1246,14067,159,20431,0.55,220,180,1077,12267,139,15842,0.5,100,100,1000,10118,121,7590,0.5,100,100,1000,8161,55,20146,0.5,100,100,1000,1
14585,90,24075,0.53,320,285,1092,13106,48,10391,0.5,100,100,1000,14576,143,30604,0.55,222,182,982,13495,39,23219,0.5,100,100,1000,17640,2,32399,0.5,100,100,1000,12671,126,26837,0.56,260,204,1534,15830,51,24884,0.5,100,100,1000,13321,56,36180,0.5,100,100,1000,9636,17,10519,0.71,66,27,1010,7123,84,5773,0.5,100,100,1000,1
12164,154,23043,0.5,100,100,1000,16353,38,39086,0.53,320,285,1092,13995,39,24383,0.53,366,326,1033,17649,24,35167,0.5,100,100,1000,18223,112,33215,0.5,100,100,1000,19745,153,36378,0.5,100,100,1000,16490,30,25888,0.5,100,100,1000,18555,53,31786,0.55,165,136,1027,11232,42,24898,0.5,100,100,1000,10167,84,8971,0.5,100,100,1000,0
6864,105,2909,0.5,100,100,1000,6673,93,9594,0.53,269,235,1091,8684,143,9346,0.5,100,100,1000,5665,149,5298,0.54,270,234,1229,5686,89,7621,0.5,100,100,1000,6859,11,7706,0.5,100,100,1000,10503,150,15738,0.53,349,314,1194,7011,87,3176,0.5,100,100,1000,7304,110,8662,0.5,100,100,1000,4454,13,6908,0.53,290,253,1231,1
11716,35,13760,0.55,215,175,1086,9695,61,15680,0.5,100,100,1000,10538,129,14242,0.53,457,399,1561,9841,47,10453,0.5,100,100,1000,10333,2,7004,0.5,100,100,1000,9668,131,10762,0.58,132,96,1015,19292,26,37831,0.5,100,100,1000,8485,9,6901,0.57,270,203,1555,8291,102,8484,0.5,100,100,1000,7448,125,8809,0.5,100,100,1000,1
14688,83,16892,0.5,100,100,1000,15921,105,19373,0.5,100,100,1000,15038,47,19480,0.5,100,100,1000,16735,127,29663,0.5,100,100,1000,13307,154,17990,0.5,100,100,1000,14135,124,22194,0.5,100,100,1000,16673,51,23125,0.5,100,100,1000,16478,30,40723,0.6,122,81,1110,11940,42,24273,0.5,100,100,1000,9256,130,9669,0.5,100,100,1000,1
10730,52,12739,0.5,100,100,1000,15071,40,37434,0.58,205,149,1335,15895,67,38029,0.5,100,100,1000,12791,62,25072,0.53,236,210,932,8244,34,14545,0.54,174,149,1002,13219,124,22822,0.5,100,100,1000,12895,51,20300,0.5,100,100,1000,10868,30,18171,0.5,100,100,1000,8243,78,4958,0.5,100,100,1000,7740,98,5272,0.5,100,100,1000,0
11173,52,16993,0.5,100,100,1000,15971,59,35952,0.5,100,100,1000,12181,143,16161,0.5,100,100,1000,15461,63,22256,0.5,100,100,1000,14091,158,27312,0.5,100,100,1000,10642,55,16590,0.54,274,232,1101,12782,56,45695,0.54,301,252,1013,17753,9,35506,0.5,100,100,1000,8205,84,8978,0.5,100,100,1000,9695,130,11770,0.5,100,100,1000,0
8325,40,15832,0.5,100,100,1000,12253,155,20489,0.5,100,100,1000,11172,38,17483,0.5,100,100,1000,8790,31,13716,0.5,100,100,1000,11882,127,21326,0.5,100,100,1000,7648,96,6715,0.5,100,100,1000,13895,10,27765,0.5,100,100,1000,6632,21,5176,0.53,297,266,1053,7946,78,5014,0.5,100,100,1000,6302,110,7946,0.5,100,100,1000,1
11571,38,18638,0.52,303,279,1018,8766,105,15219,0.5,100,100,1000,11636,39,21458,0.58,119,87,1042,8336,47,10272,0.5,100,100,1000,16570,131,27223,0.52,412,380,1067,8854,57,7708,0.5,100,100,1000,10905,30,13158,0.55,445,371,1847,10875,56,22978,0.5,100,100,1000,7060,162,13874,0.5,100,100,1000,7971,110,16741,0.58,132,97,1108,1
6830,35,5993,0.53,290,259,941,9315,129,12805,0.5,100,100,1000,7440,67,10193,0.53,457,399,1561,8685,127,10169,0.53,442,397,1193,7719,162,13122,0.5,100,100,1000,7523,92,4407,0.52,303,279,1018,7724,159,10011,0.54,256,217,1026,12076,51,16642,0.61,123,79,1050,4356,98,2743,0.5,100,100,1000,8918,93,21111,0.57,277,209,1373,0
10560,61,18850,0.58,205,149,1335,13989,49,29909,0.57,239,179,1522,10455,67,12461,0.56,156,122,1098,13134,24,19095,0.54,250,213,1320,11720,126,19180,0.56,260,204,1534,12574,96,16905,0.5,100,100,1000,14668,150,20957,0.53,349,314,1194,17122,159,31026,0.55,254,211,1401,8135,130,9116,0.55,280,233,1516,9802,98,6245,0.54,353,296,1258,0
14881,92,29328,0.62,98,61,1018,11392,123,20631,0.5,100,100,1000,13626,41,25737,0.54,214,184,999,13969,104,22830,0.54,230,195,1002,13183,73,23440,0.5,100,100,1000,13146,3,20264,0.5,100,100,1000,18987,150,32291,0.5,100,100,1000,13855,9,32609,0.52,296,269,1098,8925,15,9568,0.5,100,100,1000,9337,130,10202,0.5,100,100,1000,1
9569,103,10441,0.56,197,155,1054,12375,23,19450,0.5,100,100,1000,10806,86,14683,0.5,100,100,1000,12200,14,25104,0.54,250,213,1320,14658,127,23183,0.5,100,100,1000,11654,124,24577,0.5,100,100,1000,12993,9,26851,0.58,212,152,1389,10533,159,12821,0.57,162,124,1206,9181,130,9766,0.55,280,233,1516,8255,72,9720,0.5,100,100,1000,0
13773,90,18934,0.53,320,285,1092,6991,52,4359,0.5,100,100,1000,10452,67,9118,0.5,100,100,1000,7524,38,10628,0.5,100,100,1000,9983,33,11256,0.55,156,129,1013,8248,49,14930,0.55,234,195,1312,9405,51,10845,0.5,100,100,1000,8586,159,11967,0.55,155,126,979,6622,95,4775,0.5,100,100,1000,4796,156,3656,0.5,100,100,1000,1
12545,93,17888,0.5,100,100,1000,9991,105,8365,0.64,136,75,1434,11999,28,13593,0.5,100,100,1000,8940,143,5733,0.5,100,100,1000,13097,2,19099,0.5,100,100,1000,7651,34,8610,0.5,100,100,1000,13247,9,17745,0.5,100,100,1000,12198,51,23227,0.5,100,100,1000,7954,98,5555,0.59,152,106,1021,5775,130,5057,0.5,100,100,1000,1
