TeamBlueTopChampionName,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopChampionName,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleChampionName,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleChampionName,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidChampionName,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidChampionName,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCChampionName,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCChampionName,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportChampionName,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportChampionName,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints
48,0.5,100,100,1000,52,0.62,131,80,1198,63,0.5,100,100,1000,67,0.53,457,399,1561,96,0.5,100,100,1000,123,0.5,100,100,1000,118,0.54,256,217,1026,138,0.52,456,414,1107,13,0.5,100,100,1000,95,0.5,100,100,1000
103,0.5,100,100,1000,23,0.5,100,100,1000,109,0.55,187,153,1090,41,0.5,100,100,1000,123,0.5,100,100,1000,91,0.5,100,100,1000,51,0.5,100,100,1000,159,0.5,100,100,1000,95,0.59,111,78,1098,125,0.5,100,100,1000
52,0.5,100,100,1000,153,0.5,100,100,1000,38,0.5,100,100,1000,67,0.5,100,100,1000,158,0.5,100,100,1000,8,0.53,331,291,1053,51,0.5,100,100,1000,138,0.6,119,80,1010,102,0.5,100,100,1000,126,0.5,100,100,1000
105,0.56,211,167,1234,90,0.5,100,100,1000,117,0.57,168,126,1061,14,0.5,100,100,1000,57,0.5,100,100,1000,123,0.5,100,100,1000,10,0.5,100,100,1000,138,0.5,100,100,1000,121,0.5,100,100,1000,98,0.56,185,148,1161
44,0.52,328,297,1083,103,0.53,251,221,953,104,0.53,434,379,1542,14,0.54,270,234,1229,91,0.57,277,209,1373,7,0.63,107,62,1136,140,0.5,100,100,1000,9,0.53,222,197,1107,110,0.5,100,100,1000,130,0.54,333,280,1367
104,0.53,434,379,1542,94,0.53,269,235,1091,123,0.56,175,137,1330,39,0.5,100,100,1000,124,0.54,372,317,1471,96,0.5,100,100,1000,51,0.54,256,217,1026,138,0.5,100,100,1000,8,0.62,124,75,1388,7,0.63,107,62,1136
40,0.5,100,100,1000,61,0.5,100,100,1000,88,0.5,100,100,1000,104,0.5,100,100,1000,140,0.5,100,100,1000,141,0.5,100,100,1000,139,0.5,100,100,1000,18,0.5,100,100,1000,156,0.5,100,100,1000,78,0.56,260,204,1534
76,0.5,100,100,1000,37,0.5,100,100,1000,144,0.5,100,100,1000,143,0.5,100,100,1000,34,0.53,366,326,1033,162,0.54,285,240,1355,118,0.5,100,100,1000,138,0.5,100,100,1000,55,0.54,261,221,1017,110,0.5,100,100,1000
48,0.5,100,100,1000,74,0.5,100,100,1000,149,0.5,100,100,1000,143,0.5,100,100,1000,70,0.53,368,327,1068,123,0.52,456,414,1107,51,0.56,233,186,1219,159,0.54,256,217,1026,151,0.5,100,100,1000,15,0.5,100,100,1000
106,0.62,117,72,1006,48,0.66,134,70,1437,63,0.5,100,100,1000,67,0.55,247,202,1313,66,0.54,372,317,1471,123,0.5,100,100,1000,138,0.6,84,57,1192,51,0.5,100,100,1000,15,0.54,333,280,1367,72,0.5,100,100,1000
117,0.52,412,380,1067,154,0.6,101,66,1076,144,0.55,240,200,1192,76,0.54,371,316,1575,158,0.5,100,100,1000,145,0.5,100,100,1000,11,0.5,100,100,1000,50,0.5,100,100,1000,55,0.5,100,100,1000,110,0.5,100,100,1000
21,0.61,116,74,1225,117,0.5,100,100,1000,28,0.56,175,137,1330,67,0.51,437,413,1074,131,0.6,128,84,1363,124,0.59,111,78,1098,150,0.52,451,415,1199,30,0.57,148,112,1020,8,0.58,115,83,1060,13,0.58,200,143,1341
61,0.53,269,235,1091,146,0.5,100,100,1000,86,0.5,100,100,1000,144,0.5,100,100,1000,49,0.52,412,380,1067,124,0.5,100,100,1000,54,0.5,100,100,1000,51,0.58,179,128,1282,73,0.53,423,379,1064,101,0.5,100,100,1000
20,0.5,100,100,1000,52,0.5,100,100,1000,157,0.55,150,122,1028,88,0.54,244,211,1080,153,0.5,100,100,1000,8,0.5,100,100,1000,138,0.52,393,369,1045,51,0.55,296,241,1195,121,0.53,458,410,1145,55,0.5,100,100,1000
19,0.5,100,100,1000,48,0.5,100,100,1000,56,0.57,153,116,1005,89,0.52,504,463,1003,158,0.5,100,100,1000,70,0.56,233,186,1219,51,0.5,100,100,1000,9,0.5,100,100,1000,15,0.5,100,100,1000,130,0.55,305,252,1424
90,0.5,100,100,1000,92,0.55,274,222,1060,48,0.51,437,413,1074,67,0.5,100,100,1000,124,0.5,100,100,1000,2,0.5,100,100,1000,159,0.5,100,100,1000,118,0.5,100,100,1000,15,0.5,100,100,1000,130,0.5,100,100,1000
105,0.64,136,75,1434,49,0.56,211,167,1234,28,0.5,100,100,1000,143,0.5,100,100,1000,2,0.52,419,380,1212,140,0.53,406,363,1246,159,0.55,220,180,1077,139,0.5,100,100,1000,121,0.5,100,100,1000,55,0.5,100,100,1000
90,0.53,320,285,1092,48,0.5,100,100,1000,143,0.55,222,182,982,39,0.5,100,100,1000,2,0.5,100,100,1000,126,0.56,260,204,1534,51,0.5,100,100,1000,56,0.5,100,100,1000,17,0.71,66,27,1010,84,0.5,100,100,1000
154,0.5,100,100,1000,38,0.53,320,285,1092,39,0.53,366,326,1033,24,0.5,100,100,1000,112,0.5,100,100,1000,153,0.5,100,100,1000,30,0.5,100,100,1000,53,0.55,165,136,1027,42,0.5,100,100,1000,84,0.5,100,100,1000
105,0.5,100,100,1000,93,0.53,269,235,1091,143,0.5,100,100,1000,149,0.54,270,234,1229,89,0.5,100,100,1000,11,0.5,100,100,1000,150,0.53,349,314,1194,87,0.5,100,100,1000,110,0.5,100,100,1000,13,0.53,290,253,1231
35,0.55,215,175,1086,61,0.5,100,100,1000,129,0.53,457,399,1561,47,0.5,100,100,1000,2,0.5,100,100,1000,131,0.58,132,96,1015,26,0.5,100,100,1000,9,0.57,270,203,1555,102,0.5,100,100,1000,125,0.5,100,100,1000
83,0.5,100,100,1000,105,0.5,100,100,1000,47,0.5,100,100,1000,127,0.5,100,100,1000,154,0.5,100,100,1000,124,0.5,100,100,1000,51,0.5,100,100,1000,30,0.6,122,81,1110,42,0.5,100,100,1000,130,0.5,100,100,1000
52,0.5,100,100,1000,40,0.58,205,149,1335,67,0.5,100,100,1000,62,0.53,236,210,932,34,0.54,174,149,1002,124,0.5,100,100,1000,51,0.5,100,100,1000,30,0.5,100,100,1000,78,0.5,100,100,1000,98,0.5,100,100,1000
52,0.5,100,100,1000,59,0.5,100,100,1000,143,0.5,100,100,1000,63,0.5,100,100,1000,158,0.5,100,100,1000,55,0.54,274,232,1101,56,0.54,301,252,1013,9,0.5,100,100,1000,84,0.5,100,100,1000,130,0.5,100,100,1000
40,0.5,100,100,1000,155,0.5,100,100,1000,38,0.5,100,100,1000,31,0.5,100,100,1000,127,0.5,100,100,1000,96,0.5,100,100,1000,10,0.5,100,100,1000,21,0.53,297,266,1053,78,0.5,100,100,1000,110,0.5,100,100,1000
38,0.52,303,279,1018,105,0.5,100,100,1000,39,0.58,119,87,1042,47,0.5,100,100,1000,131,0.52,412,380,1067,57,0.5,100,100,1000,30,0.55,445,371,1847,56,0.5,100,100,1000,162,0.5,100,100,1000,110,0.58,132,97,1108
35,0.53,290,259,941,129,0.5,100,100,1000,67,0.53,457,399,1561,127,0.53,442,397,1193,162,0.5,100,100,1000,92,0.52,303,279,1018,159,0.54,256,217,1026,51,0.61,123,79,1050,98,0.5,100,100,1000,93,0.57,277,209,1373
61,0.58,205,149,1335,49,0.57,239,179,1522,67,0.56,156,122,1098,24,0.54,250,213,1320,126,0.56,260,204,1534,96,0.5,100,100,1000,150,0.53,349,314,1194,159,0.55,254,211,1401,130,0.55,280,233,1516,98,0.54,353,296,1258
92,0.62,98,61,1018,123,0.5,100,100,1000,41,0.54,214,184,999,104,0.54,230,195,1002,73,0.5,100,100,1000,3,0.5,100,100,1000,150,0.5,100,100,1000,9,0.52,296,269,1098,15,0.5,100,100,1000,130,0.5,100,100,1000
103,0.56,197,155,1054,23,0.5,100,100,1000,86,0.5,100,100,1000,14,0.54,250,213,1320,127,0.5,100,100,1000,124,0.5,100,100,1000,9,0.58,212,152,1389,159,0.57,162,124,1206,130,0.55,280,233,1516,72,0.5,100,100,1000
90,0.53,320,285,1092,52,0.5,100,100,1000,67,0.5,100,100,1000,38,0.5,100,100,1000,33,0.55,156,129,1013,49,0.55,234,195,1312,51,0.5,100,100,1000,159,0.55,155,126,979,95,0.5,100,100,1000,156,0.5,100,100,1000
93,0.5,100,100,1000,105,0.64,136,75,1434,28,0.5,100,100,1000,143,0.5,100,100,1000,2,0.5,100,100,1000,34,0.5,100,100,1000,9,0.5,100,100,1000,51,0.5,100,100,1000,98,0.59,152,106,1021,130,0.5,100,100,1000
106,0.5,100,100,1000,38,0.5,100,100,1000,14,0.53,297,266,1053,77,0.5,100,100,1000,74,0.56,131,101,1044,131,0.5,100,100,1000,160,0.5,100,100,1000,26,0.5,100,100,1000,112,0.5,100,100,1000,101,0.5,100,100,1000
117,0.5,100,100,1000,40,0.55,205,171,1021,86,0.56,201,157,1076,38,0.5,100,100,1000,96,0.5,100,100,1000,62,0.5,100,100,1000,54,0.5,100,100,1000,9,0.5,100,100,1000,84,0.5,100,100,1000,130,0.55,226,185,1099
