TeamBlueTopChampionName,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopChampionName,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleChampionName,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleChampionName,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidChampionName,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidChampionName,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCChampionName,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCChampionName,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportChampionName,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportChampionName,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,GoldBalanceTop,GoldBalanceJungle,GoldBalanceMid,GoldBalanceADC,GoldBalanceSupport,DamageBalanceTop,DamageBalanceJungle,DamageBalanceMid,DamageBalanceADC,DamageBalanceSupport
117,0.5,100,100,1000,43,0.5,100,100,1000,29,0.5,100,100,1000,67,0.5,100,100,1000,93,0.5,100,100,1000,11,0.5,100,100,1000,51,0.5,100,100,1000,159,0.57,270,203,1555,130,0.63,186,111,1702,15,0.58,132,97,1108,3010,3683,1312,5453,645,6777,8846,-2578,15165,71
154,0.5,100,100,1000,61,0.58,119,87,1042,88,0.62,117,72,1006,152,0.5,100,100,1000,55,0.5,100,100,1000,58,0.5,100,100,1000,51,0.5,100,100,1000,138,0.57,165,127,1079,120,0.5,100,100,1000,95,0.54,267,224,1126,5334,2804,-4614,-86,-1506,20580,19214,-14871,2576,2347
38,0.5,100,100,1000,106,0.5,100,100,1000,60,0.54,369,317,1010,63,0.5,100,100,1000,8,0.5,100,100,1000,157,0.5,100,100,1000,139,0.5,100,100,1000,159,0.54,274,232,1101,78,0.5,100,100,1000,120,0.5,100,100,1000,-3668,909,-2575,8785,2435,-2412,6710,-2051,35194,-2620
155,0.5,100,100,1000,117,0.5,100,100,1000,128,0.5,100,100,1000,47,0.5,100,100,1000,2,0.5,100,100,1000,162,0.5,100,100,1000,42,0.54,253,214,1010,50,0.5,100,100,1000,5,0.5,100,100,1000,10,0.5,100,100,1000,-488,-3777,-3739,-283,197,-2078,-3436,-27066,7085,-6518
21,0.58,139,102,1004,48,0.5,100,100,1000,45,0.52,482,444,1089,56,0.5,100,100,1000,127,0.5,100,100,1000,153,0.5,100,100,1000,9,0.6,122,80,1013,51,0.5,100,100,1000,130,0.53,334,299,942,72,0.5,100,100,1000,-3118,-2360,4262,3840,2285,-3308,-18464,18072,-144,7206
52,0.54,261,224,1008,154,0.5,100,100,1000,39,0.56,167,133,1007,47,0.5,100,100,1000,158,0.5,100,100,1000,70,0.53,351,311,1195,160,0.5,100,100,1000,150,0.5,100,100,1000,110,0.6,84,57,1192,98,0.5,100,100,1000,3278,993,-2074,3946,4138,-1386,2642,-1835,3977,6198
8,0.5,100,100,1000,133,0.66,134,70,1437,24,0.59,76,53,987,86,0.53,457,399,1561,117,0.5,100,100,1000,158,0.5,100,100,1000,150,0.57,270,203,1555,71,0.5,100,100,1000,98,0.5,100,100,1000,82,0.55,282,228,1597,-3318,-4779,-3561,-1430,-1545,11077,-20070,-8271,-5306,-1050
116,0.52,347,314,1078,61,0.59,123,84,1129,47,0.58,174,127,1230,143,0.54,371,316,1575,64,0.5,100,100,1000,66,0.5,100,100,1000,159,0.5,100,100,1000,30,0.54,217,183,1043,55,0.52,504,463,1003,98,0.54,261,221,1017,-2674,-2963,-509,-2876,-2059,-6318,-8212,-7776,-7819,2222
48,0.53,342,308,1116,52,0.62,131,80,1198,38,0.5,100,100,1000,88,0.53,236,210,932,49,0.54,180,153,1011,4,0.5,100,100,1000,30,0.54,222,188,1100,160,0.5,100,100,1000,13,0.5,100,100,1000,110,0.52,504,463,1003,1264,291,3870,1172,1349,2131,10005,13328,-2667,-11867
90,0.55,205,171,1021,106,0.53,457,399,1561,63,0.5,100,100,1000,62,0.57,271,204,1286,2,0.5,100,100,1000,49,0.55,191,154,1003,150,0.57,231,177,1670,138,0.55,240,197,1231,84,0.55,305,252,1424,98,0.5,100,100,1000,488,589,4336,4530,1262,-4083,1087,6799,404,2408
38,0.53,290,259,941,106,0.5,100,100,1000,41,0.55,240,200,1192,67,0.5,100,100,1000,91,0.56,145,112,1206,124,0.5,100,100,1000,9,0.59,120,85,1053,150,0.57,231,177,1670,130,0.55,305,252,1424,15,0.53,382,345,1223,324,-2623,-2598,-2106,-1164,-3182,-1209,-8759,-10021,-1830
117,0.5,100,100,1000,40,0.53,269,235,1091,86,0.53,423,379,1064,158,0.54,325,274,1299,96,0.5,100,100,1000,61,0.55,361,299,1656,150,0.57,162,124,1206,51,0.5,100,100,1000,15,0.54,333,280,1367,130,0.53,347,311,1039,-3614,-2190,-5467,1644,-620,-10562,-6683,-14850,-3138,2555
49,0.5,100,100,1000,72,0.5,100,100,1000,86,0.5,100,100,1000,60,0.5,100,100,1000,158,0.5,100,100,1000,153,0.5,100,100,1000,26,0.53,266,234,1011,18,0.5,100,100,1000,78,0.5,100,100,1000,15,0.5,100,100,1000,463,-1395,-4255,2352,-964,24167,5607,-3182,6344,-7048
44,0.52,328,297,1083,52,0.53,290,259,941,62,0.54,315,272,1178,152,0.54,231,193,1217,38,0.55,234,195,1312,162,0.5,100,100,1000,26,0.5,100,100,1000,150,0.6,84,57,1192,84,0.54,259,219,1058,98,0.54,261,221,1017,-780,228,-427,-3006,-527,363,-1797,393,-2807,-526
48,0.53,342,308,1116,90,0.55,205,171,1021,152,0.62,93,58,1012,56,0.5,100,100,1000,2,0.56,231,184,1377,96,0.5,100,100,1000,26,0.5,100,100,1000,9,0.57,231,177,1670,73,0.5,100,100,1000,84,0.5,100,100,1000,-85,107,3824,4759,2935,-4877,-11426,12659,5797,6390
49,0.53,290,259,941,74,0.5,100,100,1000,67,0.5,100,100,1000,47,0.52,400,364,1111,2,0.5,100,100,1000,116,0.5,100,100,1000,9,0.5,100,100,1000,50,0.5,100,100,1000,130,0.53,334,299,942,98,0.5,100,100,1000,1481,-1746,-739,-3561,-747,6335,-516,7730,-16681,-500
43,0.5,100,100,1000,93,0.57,214,162,1514,63,0.5,100,100,1000,29,0.5,100,100,1000,20,0.52,412,380,1067,146,0.5,100,100,1000,135,0.5,100,100,1000,51,0.52,456,414,1107,144,0.5,100,100,1000,98,0.5,100,100,1000,225,-1193,-1827,-4213,-978,-3803,-14482,3741,-5920,-2157
48,0.66,134,70,1437,61,0.53,269,235,1091,60,0.63,206,123,1240,47,0.57,271,204,1286,123,0.54,180,153,1011,140,0.5,100,100,1000,138,0.55,240,197,1231,150,0.5,100,100,1000,98,0.62,124,75,1388,15,0.56,234,181,1035,23,7415,535,-432,1853,-16788,15416,11544,5440,1079
49,0.5,100,100,1000,38,0.53,269,235,1091,41,0.5,100,100,1000,77,0.5,100,100,1000,56,0.5,100,100,1000,73,0.5,100,100,1000,150,0.52,456,414,1107,138,0.52,393,369,1045,157,0.5,100,100,1000,95,0.5,100,100,1000,2153,5356,43,4406,1442,-1916,4072,6455,1817,2310
