TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
12022,90,20157,320,285,1092,16230,64,26996,239,179,1522,11379,47,12239,100,100,1000,14657,104,21744,100,100,1000,13655,20,22017,100,100,1000,12648,126,23496,260,204,1534,16390,51,39573,361,299,1656,20754,26,48592,100,100,1000,8184,84,11412,185,148,1161,9609,130,10605,295,267,970,0
5530,48,2105,134,70,1437,6124,61,10442,100,100,1000,6687,29,6377,236,210,932,7153,39,4896,244,211,1080,6058,67,6497,351,311,1195,4898,66,9054,419,380,1212,10462,51,11812,153,101,1108,6529,138,7113,393,369,1045,4943,130,3186,185,148,1161,4155,72,4479,100,100,1000,1
13480,83,22147,100,100,1000,16214,48,36859,147,90,1014,19899,62,49006,100,100,1000,12305,143,13132,100,100,1000,12557,162,23376,100,100,1000,13000,140,25223,100,100,1000,13546,150,25585,301,252,1013,20980,159,50632,100,100,1000,8887,130,8235,100,100,1000,11158,102,8641,100,100,1000,0
8866,117,13268,342,308,1116,9616,40,17363,100,100,1000,10336,67,13070,100,100,1000,11663,29,19755,442,397,1193,8399,124,10637,368,327,1068,10325,131,19127,100,100,1000,8850,30,13848,222,188,1100,11933,26,22404,266,234,1011,7045,95,8289,100,100,1000,8063,13,12280,100,100,1000,0
4991,117,3477,100,100,1000,6481,42,10710,100,100,1000,5734,86,3099,100,100,1000,6388,62,3917,100,100,1000,5407,158,5003,100,100,1000,6569,8,7273,368,327,1068,4996,51,2753,100,100,1000,6230,150,5782,100,100,1000,3885,110,4089,100,100,1000,5857,141,8811,100,100,1000,0
15900,103,35793,100,100,1000,15101,20,38931,100,100,1000,15942,60,43176,369,317,1010,17323,67,44618,401,367,1045,10269,70,24721,100,100,1000,12799,44,20655,134,70,1437,13505,108,26972,100,100,1000,12841,10,31044,419,380,1212,9324,28,25854,100,100,1000,10050,98,13071,100,100,1000,0
12172,49,18952,100,100,1000,12088,44,13222,100,100,1000,12064,86,21695,100,100,1000,7490,41,7641,251,221,953,13953,159,27730,388,334,1035,7990,61,19924,100,100,1000,13103,54,18129,100,100,1000,10618,51,21840,130,79,1011,8157,121,6592,100,100,1000,7264,55,11349,100,100,1000,1
7636,36,8736,100,100,1000,5229,52,3740,100,100,1000,7866,39,5128,302,263,1093,5098,41,2394,100,100,1000,5494,8,3389,100,100,1000,6250,124,7328,165,127,1079,8480,26,5855,100,100,1000,5401,10,3011,100,100,1000,4221,84,2653,100,100,1000,3137,17,1188,234,181,1035,1
11858,136,24488,100,100,1000,6973,21,12670,139,102,1004,14052,144,31106,100,100,1000,10095,62,22854,100,100,1000,9921,116,15473,347,314,1078,10052,75,16149,100,100,1000,11718,30,26857,100,100,1000,10040,51,25090,100,100,1000,7299,130,5478,100,100,1000,6502,98,5748,84,57,1192,1
5991,74,8036,100,100,1000,8373,90,8474,100,100,1000,8636,56,18098,100,100,1000,10392,39,14125,167,133,1007,9010,4,10929,100,100,1000,9330,27,10888,100,100,1000,4604,138,8348,100,100,1000,8384,150,8398,100,100,1000,4054,55,3149,100,100,1000,5368,84,5800,100,100,1000,0
9912,48,20343,100,100,1000,14653,36,24255,134,70,1437,18272,67,29585,100,100,1000,13499,63,14623,76,53,987,11645,66,25132,419,380,1212,10385,123,19441,100,100,1000,16202,150,36138,231,177,1670,21277,9,48555,351,308,1225,9311,78,7211,233,196,1147,10377,130,12659,305,252,1424,0
6268,148,6573,416,380,1046,4735,37,6512,100,100,1000,7105,31,7678,100,100,1000,6176,67,5452,457,399,1561,7608,2,6872,231,184,1377,5254,70,6673,145,112,1206,6541,150,8437,155,126,979,4529,138,4321,100,100,1000,8352,110,13648,226,193,1183,5057,72,5800,76,53,987,1
10532,38,20751,100,100,1000,8443,64,15449,269,235,1091,10404,62,12171,100,100,1000,8313,67,6127,366,326,1033,13310,131,30293,111,78,1098,8409,58,11143,100,100,1000,9289,30,9119,100,100,1000,12061,50,11282,100,100,1000,6870,5,5338,100,100,1000,7343,42,16240,234,181,1035,1
13936,139,21432,100,100,1000,15269,153,19982,100,100,1000,13127,39,21955,100,100,1000,16043,56,39692,100,100,1000,13680,2,26559,100,100,1000,13528,44,16980,262,225,1118,13774,51,10923,100,100,1000,16834,18,35198,217,183,1043,8809,130,7671,100,100,1000,7967,73,10616,100,100,1000,0
11983,116,20742,347,314,1078,15660,44,34123,134,70,1437,14302,67,27218,315,272,1178,12562,86,17167,457,399,1561,12014,55,24870,226,193,1183,11782,131,17010,351,308,1225,18819,53,32824,296,241,1195,9640,30,17042,100,100,1000,8351,84,10454,117,72,1006,7594,110,13388,100,100,1000,1
12056,36,19939,140,98,1100,11565,48,22718,101,66,1076,11179,27,16330,100,100,1000,11565,67,20458,100,100,1000,10554,154,14644,100,100,1000,10785,2,14666,100,100,1000,9953,51,17333,100,100,1000,16784,159,27990,100,100,1000,6711,78,3260,100,100,1000,9602,72,6869,100,100,1000,0
12893,8,27915,100,100,1000,9612,117,15697,342,308,1116,9503,109,12662,119,87,1042,11368,38,19265,371,316,1575,13341,123,24679,100,100,1000,9551,124,19058,100,100,1000,13593,9,33684,100,100,1000,13551,30,32629,393,369,1045,11140,110,29281,100,100,1000,8033,130,4960,206,123,1240,1
9474,93,15329,100,100,1000,13002,90,19803,100,100,1000,14798,62,20032,423,379,1064,12316,144,15653,100,100,1000,11513,66,23139,100,100,1000,9459,8,15517,100,100,1000,10505,138,23161,100,100,1000,21227,159,47946,100,100,1000,8389,55,11327,100,100,1000,8968,98,8998,100,100,1000,0
12714,52,17248,100,100,1000,15355,67,27142,100,100,1000,17298,86,31613,100,100,1000,15926,56,33917,153,116,1005,14612,61,33569,100,100,1000,11971,144,16841,100,100,1000,15242,30,34488,100,100,1000,14527,150,21772,100,100,1000,10914,121,5544,100,100,1000,8518,98,9318,193,143,1048,1
6214,154,7408,100,100,1000,8658,74,4143,285,240,1355,7816,47,9714,100,100,1000,9449,67,10342,100,100,1000,6353,8,10175,100,100,1000,8738,2,11137,100,100,1000,7896,51,8511,163,124,1141,13360,54,20275,197,161,1046,4708,130,3671,172,138,1014,7009,95,6789,100,100,1000,0
11080,92,13947,100,100,1000,9696,19,16053,100,100,1000,14804,39,35949,100,100,1000,8551,38,9994,100,100,1000,11974,96,22405,100,100,1000,9829,58,19104,100,100,1000,13508,150,25527,100,100,1000,11026,159,17296,266,234,1011,7026,120,6594,100,100,1000,5666,121,4260,100,100,1000,1
5730,92,5768,180,146,986,5742,38,6077,320,285,1092,7992,41,8298,100,100,1000,5725,113,4636,120,63,1013,4783,161,4421,100,100,1000,4989,93,7435,100,100,1000,7684,150,8297,100,100,1000,5203,26,5293,100,100,1000,5322,102,4029,100,100,1000,3808,95,4269,285,240,1355,1
4552,37,5151,100,100,1000,9414,105,10862,100,100,1000,5333,62,6681,100,100,1000,6026,60,5743,100,100,1000,6104,19,6724,100,100,1000,7136,158,9570,100,100,1000,5272,11,3719,100,100,1000,7023,30,7998,222,188,1100,3800,101,2061,100,100,1000,4530,98,3254,226,185,1099,0
10235,92,10276,159,124,1045,10546,59,11612,100,100,1000,12966,63,26911,156,122,1098,8447,144,11356,117,72,1006,12898,2,13595,231,184,1377,10394,124,18465,277,209,1373,12028,10,17202,100,100,1000,9647,9,15466,351,308,1225,9005,98,8737,100,100,1000,6790,95,6012,333,280,1367,1
12836,52,11476,100,100,1000,14854,90,15842,192,162,1060,14853,144,21512,100,100,1000,15793,47,13764,244,211,1080,17960,140,46388,277,209,1373,16858,2,29025,180,153,1011,15813,51,36274,100,100,1000,22922,150,48937,141,103,1340,8626,98,8192,333,280,1367,12366,55,15332,100,100,1000,0
13787,117,24425,274,222,1060,13585,92,27212,100,100,1000,18447,39,49498,100,100,1000,14525,89,18530,100,100,1000,15973,12,39506,100,100,1000,16779,123,24948,100,100,1000,16175,150,45800,184,150,1050,19457,51,66494,301,252,1013,8507,15,9307,100,100,1000,10335,130,14647,100,100,1000,1
15147,52,22254,100,100,1000,11426,74,19965,100,100,1000,12548,149,18592,127,96,1065,10648,89,11959,100,100,1000,18725,11,43781,262,225,1118,15179,153,15938,100,100,1000,17849,159,20354,100,100,1000,18916,30,47063,100,100,1000,11786,141,16495,100,100,1000,9195,120,14313,100,100,1000,1
9979,60,16382,100,100,1000,14678,23,23898,100,100,1000,10090,41,9019,100,100,1000,16248,69,16248,100,100,1000,10786,145,14839,100,100,1000,10727,49,11953,100,100,1000,12693,150,20202,100,100,1000,12635,118,24129,300,274,899,6570,84,6331,100,100,1000,8426,78,3694,100,100,1000,0
9418,117,17836,100,100,1000,12092,49,34148,100,100,1000,9637,45,6580,100,100,1000,10293,109,10429,100,100,1000,12120,58,23489,100,100,1000,11824,3,12723,80,28,1106,17434,51,32300,100,100,1000,9913,138,17354,100,100,1000,8307,130,7650,100,100,1000,8018,95,7213,121,82,1115,1
11112,93,23696,100,100,1000,12468,106,23371,457,399,1561,7263,24,7400,100,100,1000,14324,144,25366,100,100,1000,10555,49,16787,406,363,1246,7922,123,12475,100,100,1000,8838,159,12598,100,100,1000,13324,53,25669,100,100,1000,5632,17,5166,100,100,1000,7167,84,6414,382,345,1223,0
7351,19,13028,100,100,1000,6057,40,14552,201,164,1399,8845,24,10488,100,100,1000,7390,144,11445,100,100,1000,10144,154,16339,100,100,1000,5891,109,5923,100,100,1000,12990,159,22293,100,100,1000,8259,30,12844,100,100,1000,7839,13,8159,100,100,1000,5642,141,8189,100,100,1000,1
12962,92,19983,100,100,1000,11194,43,14185,100,100,1000,9025,29,8976,100,100,1000,10099,109,11349,100,100,1000,9524,8,13157,100,100,1000,11185,124,18392,100,100,1000,11085,44,10946,172,140,1116,13594,150,36143,100,100,1000,6041,19,7293,100,100,1000,8894,111,8949,100,100,1000,0
11253,38,14219,290,259,941,10445,8,29740,100,100,1000,18232,104,31622,434,379,1542,10384,149,13483,366,326,1033,13620,74,22429,100,100,1000,13146,49,23564,277,209,1373,15822,51,20451,456,414,1107,12486,9,18040,451,415,1199,9787,42,17274,74,36,1007,8570,101,5409,200,143,1341,1
13582,52,20714,100,100,1000,10703,43,20555,100,100,1000,10574,67,8731,400,364,1111,9390,157,13148,244,211,1080,13007,66,29457,100,100,1000,8284,2,12817,424,382,1116,11491,150,18809,240,197,1231,11849,9,15453,393,369,1045,8051,15,9330,234,181,1035,8526,110,17343,228,169,1033,1
7638,25,12790,100,100,1000,10745,37,20311,159,124,1045,9332,47,10425,273,239,1034,9255,38,16200,100,100,1000,6732,162,16514,262,225,1118,11894,96,20131,100,100,1000,9876,51,17018,100,100,1000,13075,56,28894,100,100,1000,6233,102,8400,100,100,1000,6538,101,6526,242,197,1397,0
7646,61,12912,100,100,1000,6219,76,7030,100,100,1000,8572,149,8315,100,100,1000,6796,6,3659,100,100,1000,7740,3,7738,100,100,1000,5167,116,4197,100,100,1000,11143,131,11854,300,274,899,6285,53,7612,100,100,1000,6135,84,5329,100,100,1000,4657,95,3978,100,100,1000,1
7167,37,9138,205,171,1021,12698,44,14197,100,100,1000,7772,14,1721,100,100,1000,8403,38,11177,100,100,1000,9518,2,12488,412,380,1067,10790,140,20568,100,100,1000,12147,150,26450,100,100,1000,13017,53,15604,258,203,1480,5934,98,3423,234,181,1035,6740,84,6324,424,382,1116,0
11009,105,11387,211,167,1234,13682,61,21602,177,138,1019,11675,41,12630,434,379,1542,12894,149,14664,201,164,1399,12948,42,22280,174,135,1177,16105,4,20639,100,100,1000,14237,159,17441,256,217,1026,16029,51,25257,263,234,1061,6953,72,4315,203,172,1100,9051,161,5220,100,100,1000,0
5970,8,13219,100,100,1000,12918,44,17693,134,70,1437,8224,144,14730,100,100,1000,10444,67,14415,315,272,1178,9876,70,16045,145,112,1206,10872,2,14701,100,100,1000,11277,9,15983,351,308,1225,16363,159,29972,128,84,1363,5853,130,6243,84,57,1192,8133,84,8131,100,100,1000,0
10633,74,17469,100,100,1000,12112,123,19527,100,100,1000,10262,29,16903,100,100,1000,13689,28,18194,100,100,1000,9897,49,19496,100,100,1000,13693,144,19655,100,100,1000,11172,138,17311,100,100,1000,14521,159,24818,296,269,1098,7469,110,13188,100,100,1000,7890,15,9569,100,100,1000,0
10381,19,20161,100,100,1000,6188,37,15016,100,100,1000,10851,136,16296,100,100,1000,10049,41,10894,100,100,1000,12961,154,24172,100,100,1000,8634,123,13174,100,100,1000,10487,51,10367,100,100,1000,9798,159,12383,100,100,1000,6754,98,4175,100,100,1000,5741,130,5289,406,363,1246,1
12109,49,17206,106,63,1070,9177,154,8916,103,71,1026,14214,56,24763,100,100,1000,8217,38,11820,100,100,1000,11084,107,14312,231,184,1377,8974,44,10633,368,327,1068,10359,26,5343,266,234,1011,9684,159,10748,100,100,1000,8905,110,14052,100,100,1000,4970,17,2447,504,463,1003,1
8675,66,14399,179,118,1239,6711,53,10128,212,152,1389,11388,86,15426,100,100,1000,7730,106,11326,457,399,1561,9196,103,12166,100,100,1000,6762,48,11766,100,100,1000,10685,159,20802,270,203,1555,9663,150,15733,458,410,1145,7784,5,5462,233,196,1147,5468,98,5180,280,233,1516,1
13032,117,19310,126,95,1007,11108,52,13645,100,100,1000,14493,144,30727,100,100,1000,11515,63,10313,100,100,1000,15507,124,47738,100,100,1000,14038,160,48488,100,100,1000,16821,159,28498,100,100,1000,14760,51,22145,222,197,1107,9209,78,5112,100,100,1000,7324,5,5472,100,100,1000,1
8095,4,12987,100,100,1000,11279,74,10719,110,69,1145,11341,39,24105,100,100,1000,13891,47,24486,174,127,1230,9101,66,9480,148,81,1179,11249,2,12964,231,184,1377,8228,9,11380,393,369,1045,11779,51,26163,100,100,1000,6540,141,11956,100,100,1000,8767,15,5753,233,196,1147,0
13386,52,21682,100,100,1000,12974,64,18897,182,144,1149,12126,31,16746,100,100,1000,13457,152,19665,100,100,1000,12359,144,28199,100,100,1000,12944,136,20465,100,100,1000,17335,51,25644,122,80,1013,10489,30,18622,100,100,1000,13413,50,21548,100,100,1000,9213,16,21837,100,100,1000,1
7022,49,11175,342,308,1116,4417,105,2234,100,100,1000,5943,67,5530,100,100,1000,4811,28,2356,174,127,1230,5723,8,5577,148,112,1020,6071,154,4321,331,291,1053,6687,159,4318,256,217,1026,5059,131,2964,100,100,1000,5213,110,4918,458,410,1145,3565,98,2238,333,280,1367,1
13085,19,18174,100,100,1000,8529,37,12051,100,100,1000,14242,86,29092,100,100,1000,8287,104,8134,244,211,1080,11262,142,16098,100,100,1000,9179,2,13761,100,100,1000,10611,159,11041,401,367,1045,9314,51,13872,100,100,1000,7894,46,5306,100,100,1000,6545,110,10770,100,100,1000,1
5514,105,7575,100,100,1000,4965,38,5629,100,100,1000,5471,143,3854,100,100,1000,5949,152,4666,100,100,1000,9531,142,18579,100,100,1000,5120,136,5654,100,100,1000,5325,53,5423,132,96,1015,6361,71,8981,100,100,1000,4097,5,3253,504,463,1003,4458,72,4028,100,100,1000,1
6545,32,11642,100,100,1000,9477,37,22279,100,100,1000,9018,143,9014,100,100,1000,12423,29,20345,100,100,1000,9535,96,20183,100,100,1000,10562,158,13009,100,100,1000,10025,51,12764,100,100,1000,10663,30,21614,438,391,1173,5823,130,6406,100,100,1000,6711,68,6086,100,100,1000,0
8926,38,18180,133,90,1197,11488,90,19256,100,100,1000,7348,93,11493,100,100,1000,10372,28,10460,211,167,1280,6815,155,12176,347,314,1078,12508,117,21198,434,379,1542,7553,9,16258,451,415,1199,9856,58,18039,100,100,1000,5948,72,5813,203,172,1100,6513,17,4813,100,100,1000,0
11278,90,15902,320,285,1092,12195,48,13643,100,100,1000,15347,56,49195,100,100,1000,11428,157,14549,150,122,1028,13370,27,18010,100,100,1000,16330,96,29658,100,100,1000,9928,51,14303,233,186,1219,17166,159,32144,438,391,1173,8144,130,8504,100,100,1000,7859,15,7479,100,100,1000,0
8076,48,12580,100,100,1000,11720,93,21481,100,100,1000,11513,38,13153,100,100,1000,15721,96,23361,219,177,1088,12583,162,26216,285,240,1355,16656,58,51487,100,100,1000,8844,150,11103,100,100,1000,10815,111,10449,100,100,1000,6875,78,2791,100,100,1000,8401,98,6278,100,100,1000,0
6222,129,8416,100,100,1000,5146,52,3382,100,100,1000,8900,67,10098,297,266,1053,6327,106,5348,100,100,1000,6348,93,8261,100,100,1000,4782,154,3864,100,100,1000,7485,135,10484,100,100,1000,6511,150,8633,388,334,1035,7043,42,9121,100,100,1000,4156,10,5063,100,100,1000,1
10131,64,13296,239,179,1522,8669,34,12742,393,369,1045,8488,67,7413,100,100,1000,13935,143,21640,221,168,1802,10408,90,19542,100,100,1000,11302,19,21329,114,73,1242,9928,9,11295,177,137,1104,12219,71,26864,163,124,1141,7010,130,6074,333,280,1367,7808,82,6524,100,100,1000,0
12500,117,20924,100,100,1000,14932,74,33772,106,63,1070,17208,67,31689,328,280,1377,14910,144,30356,297,266,1053,21673,124,52679,145,112,1206,15506,66,26721,406,363,1246,18513,150,36496,100,100,1000,19634,159,76854,197,155,1285,10987,98,11203,233,196,1147,10892,82,13737,187,153,1090,1
13789,49,47110,100,100,1000,12346,117,33152,100,100,1000,13679,62,29576,100,100,1000,17321,14,34001,100,100,1000,9112,2,17619,100,100,1000,13384,61,23399,333,280,1367,12777,56,43188,100,100,1000,15382,150,25595,134,106,1047,7981,84,10189,100,100,1000,8923,130,7231,100,100,1000,0
10550,61,16696,100,100,1000,11203,145,14885,419,380,1212,13051,60,17956,206,123,1240,6822,123,8628,100,100,1000,12867,94,22007,148,81,1179,11366,36,15285,134,70,1437,12649,56,21784,100,100,1000,9959,65,23558,393,369,1045,6523,15,5148,100,100,1000,6698,10,9821,234,181,1035,1
12239,96,21630,100,100,1000,11806,154,19173,100,100,1000,10702,38,26362,119,87,1042,9317,67,13321,175,137,1330,11110,131,11157,124,88,1157,8461,73,12101,100,100,1000,13441,150,16911,100,100,1000,8933,51,10745,351,308,1225,6714,84,4554,100,100,1000,5184,17,5081,349,314,1194,1
10761,48,14213,100,100,1000,13984,49,29335,116,74,1225,13216,86,21186,100,100,1000,16835,47,36162,100,100,1000,17252,123,26637,100,100,1000,12737,2,19705,100,100,1000,14099,138,25576,100,100,1000,14656,131,25967,300,274,899,12615,95,15683,127,92,1040,9625,128,9043,100,100,1000,0
9284,4,13664,100,100,1000,10407,61,14657,100,100,1000,7704,47,9883,291,261,1003,11446,39,21072,100,100,1000,8102,123,13224,100,100,1000,8273,20,11578,100,100,1000,8688,51,13141,100,100,1000,9758,30,18435,222,188,1100,6264,84,6483,100,100,1000,5331,5,6628,115,83,1060,0
8416,90,12823,100,100,1000,3802,64,5744,100,100,1000,7739,29,9721,442,397,1193,5598,14,5898,250,213,1320,8351,49,7378,100,100,1000,5154,20,3897,100,100,1000,7753,10,7376,100,100,1000,5561,30,4550,222,188,1100,6208,110,8274,228,169,1033,3333,98,3557,100,100,1000,1
13710,48,22666,100,100,1000,15855,105,29089,136,75,1434,11909,67,13561,315,272,1178,13210,144,12544,482,444,1089,10371,70,17368,351,311,1195,14930,2,22254,165,127,1079,15724,87,21511,100,100,1000,14028,51,22710,221,173,1136,8150,120,9555,334,299,942,7996,15,9045,261,226,1003,0
15387,48,18594,100,100,1000,16678,61,37639,134,70,1437,14048,113,33498,100,100,1000,25663,104,40889,230,195,1002,23461,44,29255,100,100,1000,14853,49,29472,100,100,1000,19539,135,40597,100,100,1000,19876,51,29995,100,100,1000,10885,98,7847,187,153,1090,11141,130,13080,100,100,1000,0
9207,32,8484,100,100,1000,14565,4,25898,200,131,1151,11643,126,13301,100,100,1000,13326,47,15453,100,100,1000,10484,20,9107,100,100,1000,12877,91,16745,100,100,1000,11947,30,22014,100,100,1000,13997,51,19396,100,100,1000,7334,55,8544,119,89,982,7171,84,6529,74,36,1007,0
7293,105,6075,100,100,1000,9994,137,12008,159,124,1045,7601,144,5821,100,100,1000,11923,60,15430,206,123,1240,6188,122,9651,290,253,1231,16311,153,25174,215,181,1184,9717,21,6809,100,100,1000,9457,140,17259,100,100,1000,7541,110,14121,351,308,1225,6848,101,6889,242,197,1397,0
16534,49,43339,159,124,1045,13148,37,24819,100,100,1000,14239,28,25702,276,241,1102,21563,27,42790,100,100,1000,16145,95,22659,127,92,1040,14576,93,27629,180,153,1011,17613,140,35085,100,100,1000,20306,26,31464,100,100,1000,9482,101,6122,100,100,1000,9272,84,10065,100,100,1000,0
10686,38,19065,100,100,1000,14441,40,29134,100,100,1000,12784,88,19963,100,100,1000,11361,100,14305,100,100,1000,12478,11,22019,100,100,1000,10447,123,24817,100,100,1000,12486,9,23289,100,100,1000,12715,131,32896,233,186,1219,8033,5,8528,100,100,1000,7623,76,11184,100,100,1000,0
14216,93,21739,100,100,1000,9974,61,10145,100,100,1000,15737,104,24113,434,379,1542,11056,41,14749,100,100,1000,10850,162,11641,100,100,1000,10710,27,7245,100,100,1000,13003,56,26586,100,100,1000,15170,51,18027,233,186,1219,8532,82,8253,216,188,1043,7775,130,5237,271,211,1508,1
9784,38,13434,100,100,1000,7224,52,10478,100,100,1000,8954,144,6902,351,311,1195,9935,86,21004,100,100,1000,9100,8,18097,100,100,1000,8690,154,8755,100,100,1000,14205,54,21785,100,100,1000,8801,51,12255,100,100,1000,7691,138,13485,100,100,1000,5252,130,4876,451,415,1199,1
12266,32,25009,100,100,1000,15754,103,41611,100,100,1000,12422,157,23616,150,122,1028,12883,144,26736,315,250,1059,12688,154,31169,100,100,1000,14886,21,21507,100,100,1000,19524,150,46281,100,100,1000,12030,160,24571,100,100,1000,9125,121,6856,100,100,1000,8710,55,6647,100,100,1000,1
9429,92,14254,100,100,1000,7880,40,14962,100,100,1000,18996,27,36586,100,100,1000,10746,14,15413,100,100,1000,11088,154,14309,100,100,1000,9227,2,17540,180,153,1011,12014,150,18771,458,410,1145,9760,87,16329,100,100,1000,9053,110,12414,100,100,1000,5989,128,5531,100,100,1000,1
5858,117,4229,179,118,1239,5478,48,10734,290,259,941,7459,56,9760,100,100,1000,5936,77,4294,198,157,1324,5990,96,8821,100,100,1000,4924,38,6402,331,291,1053,8706,51,10112,139,97,1092,6151,159,2828,100,100,1000,5199,130,4118,347,311,1039,3180,157,3048,100,100,1000,1
10436,19,19135,100,100,1000,10783,74,16150,100,100,1000,10800,67,12915,100,100,1000,17170,39,28479,273,239,1034,13173,11,15976,100,100,1000,11966,8,33052,100,100,1000,10998,26,14367,100,100,1000,12306,138,20624,100,100,1000,6999,95,6370,100,100,1000,8419,84,9172,100,100,1000,0
5361,61,3461,211,167,1234,5754,4,4858,200,131,1151,5802,60,4747,351,311,1195,7204,38,9367,244,211,1080,4435,96,2740,100,100,1000,8018,140,9936,277,209,1373,5762,150,8179,296,241,1195,9215,51,7034,258,203,1480,4305,98,3603,100,100,1000,4150,130,2657,333,280,1367,0
4339,48,6627,342,308,1116,5921,38,10052,116,74,1225,9145,14,11778,250,213,1320,5827,127,4463,93,49,1309,5462,8,7482,139,97,1092,4704,2,3377,100,100,1000,8165,150,8811,240,197,1231,5570,159,4860,197,155,1285,5654,55,6084,261,221,1017,3383,84,3015,100,100,1000,1
12627,49,21203,197,155,1054,13118,74,20889,233,184,1370,12189,143,15794,371,316,1575,17596,144,34286,442,397,1193,15694,11,38891,100,100,1000,13741,107,21644,226,193,1183,13829,135,34110,100,100,1000,16032,65,34835,122,81,1110,7587,72,6587,100,100,1000,9287,46,3615,100,100,1000,0
10452,117,17017,342,308,1116,8168,14,8919,100,100,1000,13797,39,18519,100,100,1000,9184,143,10138,371,316,1575,9264,162,17870,285,240,1355,11285,91,25776,100,100,1000,15143,150,28204,84,57,1192,8027,138,10689,165,127,1079,8207,98,5460,267,224,1126,6912,15,7519,382,345,1223,1
12776,35,12494,100,100,1000,21473,48,58787,147,90,1014,9165,89,8272,100,100,1000,13164,144,16696,100,100,1000,13062,66,28307,100,100,1000,12160,107,15228,100,100,1000,11263,65,22350,100,100,1000,12373,111,17248,100,100,1000,9223,73,22689,100,100,1000,9039,110,9169,100,100,1000,0
6730,55,6334,100,100,1000,7025,129,4015,100,100,1000,5922,157,4560,100,100,1000,9682,149,13498,100,100,1000,7328,49,9915,100,100,1000,9756,124,9367,100,100,1000,6680,10,5829,256,217,1026,7790,30,9591,222,188,1100,6001,42,8273,353,296,1258,5736,110,6419,333,280,1367,0
9815,38,13850,100,100,1000,8653,48,11383,100,100,1000,8668,143,11264,270,234,1229,12991,104,15616,434,379,1542,12233,53,19148,179,128,1282,12553,124,23565,163,121,1306,7884,30,9256,222,188,1100,13908,131,21159,351,308,1225,5515,98,4957,100,100,1000,8253,101,5927,353,296,1258,0
5312,38,5917,100,100,1000,5834,19,10132,100,100,1000,5949,86,3918,100,100,1000,5999,76,5252,371,316,1575,4513,36,2640,100,100,1000,5968,139,9835,100,100,1000,5117,18,5390,100,100,1000,8381,51,7192,100,100,1000,3695,78,2671,504,463,1003,5198,15,3150,100,100,1000,0
11749,106,25348,100,100,1000,13871,43,28355,100,100,1000,20370,39,52789,100,100,1000,15934,24,31610,100,100,1000,12635,34,27362,100,100,1000,16238,9,37850,162,124,1206,13942,138,24829,100,100,1000,18083,51,35558,131,76,1228,9469,47,8668,100,100,1000,9579,130,8979,200,143,1341,0
12668,145,16325,325,274,1299,8136,105,3026,131,101,1044,11419,38,18300,110,67,1041,9468,86,15268,457,399,1561,11609,103,13292,100,100,1000,10107,11,22098,262,225,1118,11177,138,10453,438,391,1173,8504,54,8429,325,280,1316,10435,4,15331,100,100,1000,5824,84,6112,216,192,1005,1
15103,36,30112,100,100,1000,11233,94,26987,100,100,1000,14919,14,32354,100,100,1000,10213,76,16029,100,100,1000,11494,27,20481,100,100,1000,13676,123,30985,210,179,1109,17227,9,51374,100,100,1000,17691,138,37683,100,100,1000,10462,121,14069,137,98,1013,8208,15,12373,111,78,1098,1
5318,49,8470,100,100,1000,7183,43,8884,100,100,1000,4872,60,6491,100,100,1000,8603,47,9583,271,204,1286,6306,96,10482,100,100,1000,8180,123,15223,100,100,1000,4728,111,4629,205,175,1008,7326,87,5960,100,100,1000,4692,84,3324,371,316,1575,6508,110,9628,333,280,1367,0
